Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","165","Pakistan","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","3890","","Donnée officielle"
"TA","Animaux vivants","165","Pakistan","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","10919","","Donnée officielle"
"TA","Animaux vivants","166","Panama","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","16","*","Chiffre non officiel"
"TA","Animaux vivants","166","Panama","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","303","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","150","Pays-Bas","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","354061","","Donnée officielle"
"TA","Animaux vivants","150","Pays-Bas","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","306778","","Donnée officielle"
"TA","Animaux vivants","170","Pérou","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","70","F","Estimation FAO"
"TA","Animaux vivants","170","Pérou","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","67","","Donnée officielle"
"TA","Animaux vivants","171","Philippines","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","76","","Donnée officielle"
"TA","Animaux vivants","171","Philippines","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","1","","Donnée officielle"
"TA","Animaux vivants","173","Pologne","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","36864","","Donnée officielle"
"TA","Animaux vivants","173","Pologne","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","52484","","Donnée officielle"
"TA","Animaux vivants","174","Portugal","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","49330","","Donnée officielle"
"TA","Animaux vivants","174","Portugal","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","48563","","Donnée officielle"
"TA","Animaux vivants","117","République de Corée","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","8","","Donnée officielle"
"TA","Animaux vivants","117","République de Corée","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","9","","Donnée officielle"
"TA","Animaux vivants","250","République démocratique du Congo","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","58","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","120","République démocratique populaire lao","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","34","*","Chiffre non officiel"
"TA","Animaux vivants","120","République démocratique populaire lao","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","60","*","Chiffre non officiel"
"TA","Animaux vivants","56","République dominicaine","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1686","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","56","République dominicaine","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","2972","","Donnée officielle"
"TA","Animaux vivants","215","République-Unie de Tanzanie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","508","","Donnée officielle"
"TA","Animaux vivants","215","République-Unie de Tanzanie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","304","","Donnée officielle"
"TA","Animaux vivants","183","Roumanie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","17570","","Donnée officielle"
"TA","Animaux vivants","183","Roumanie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","18867","","Donnée officielle"
"TA","Animaux vivants","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","22184","","Donnée officielle"
"TA","Animaux vivants","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","23144","","Donnée officielle"
"TA","Animaux vivants","184","Rwanda","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1","","Donnée officielle"
"TA","Animaux vivants","184","Rwanda","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","80","","Donnée officielle"
"TA","Animaux vivants","195","Sénégal","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","203","","Donnée officielle"
"TA","Animaux vivants","195","Sénégal","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","9","","Donnée officielle"
"TA","Animaux vivants","272","Serbie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","25403","","Donnée officielle"
"TA","Animaux vivants","272","Serbie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","32115","","Donnée officielle"
"TA","Animaux vivants","199","Slovaquie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","25786","","Donnée officielle"
"TA","Animaux vivants","199","Slovaquie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","25676","","Donnée officielle"
"TA","Animaux vivants","198","Slovénie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1845","","Donnée officielle"
"TA","Animaux vivants","198","Slovénie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","1826","","Donnée officielle"
"TA","Animaux vivants","38","Sri Lanka","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","234","","Donnée officielle"
"TA","Animaux vivants","38","Sri Lanka","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","13","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","210","Suède","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","5021","","Donnée officielle"
"TA","Animaux vivants","210","Suède","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","10299","","Donnée officielle"
"TA","Animaux vivants","211","Suisse","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1752","","Donnée officielle"
"TA","Animaux vivants","211","Suisse","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","527","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","207","Suriname","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","2","","Donnée officielle"
"TA","Animaux vivants","167","Tchéquie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","103363","","Donnée officielle"
"TA","Animaux vivants","167","Tchéquie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","113991","","Donnée officielle"
"TA","Animaux vivants","216","Thaïlande","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","7495","","Donnée officielle"
"TA","Animaux vivants","216","Thaïlande","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","16324","","Donnée officielle"
"TA","Animaux vivants","223","Turquie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","52078","","Donnée officielle"
"TA","Animaux vivants","223","Turquie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","62335","","Donnée officielle"
"TA","Animaux vivants","230","Ukraine","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","30","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","237","Viet Nam","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","504","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","237","Viet Nam","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","562","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","251","Zambie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","698","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","251","Zambie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","1929","","Donnée officielle"
"TA","Animaux vivants","181","Zimbabwe","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","211","","Donnée officielle"
"TA","Animaux vivants","181","Zimbabwe","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","132","","Donnée officielle"
